Woche von Zeitstempel;Summe endverbrauchte Energie;Summe produzierte Energie
15. Juli 2019;915573796;1646146469
22. Juli 2019;921371973;1724260433
29. Juli 2019;832034335;1542381984
5. August 2019;918582707;1426078113
12. August 2019;918631122;1572660317
19. August 2019;961608716;1802361042
26. August 2019;984705222;1658235547
2. September 2019;984623231;1377852752
9. September 2019;979051160;1265723472
16. September 2019;971034365;1244860266
23. September 2019;985776581;1291622471
30. September 2019;1012429549;1130500331
7. Oktober 2019;1027233556;1203438428
14. Oktober 2019;1030421879;1340162353
21. Oktober 2019;1032801340;1594624257
28. Oktober 2019;1068325904;1363642089
4. November 2019;1145407357;1378247047
11. November 2019;1208673021;1387333530
18. November 2019;1204374005;1463297094
25. November 2019;1191123374;1225581366
2. Dezember 2019;1255128723;1420104552
9. Dezember 2019;1247898843;1396214096
16. Dezember 2019;1159948791;1272082936
23. Dezember 2019;1035018328;1044993248
30. Dezember 2019;1079788446;1017760553
6. Januar 2020;1206139120;1251701941
13. Januar 2020;1230004626;1297369188
20. Januar 2020;1286459696;1524421447
27. Januar 2020;1204674958;1222920062
3. Februar 2020;1214845958;1275776245
10. Februar 2020;1182813965;1254312064
17. Februar 2020;1163942818;1206988038
24. Februar 2020;1170031182;1275221063
2. März 2020;1198446007;1401328082
9. März 2020;1144282671;1256742475
16. März 2020;1029842866;1224064954
23. März 2020;1065995453;1200631671
30. März 2020;1033083768;1213665146
6. April 2020;885205527;1181840672
13. April 2020;885931566;1172742470
20. April 2020;903838707;1160383963
27. April 2020;932086367;1225132093
4. Mai 2020;911688533;1307732294
11. Mai 2020;976573446;1416317312
18. Mai 2020;878211586;1368655914
25. Mai 2020;920432990;1375034392
1. Juni 2020;920346234;1361364373
8. Juni 2020;945692097;1303601541
15. Juni 2020;935549200;1404249899
22. Juni 2020;930295189;1469598655
29. Juni 2020;938656991;1455505726
6. Juli 2020;938878592;1396461761
13. Juli 2020;914388254;1360577788
20. Juli 2020;887117275;1293609594
27. Juli 2020;885127547;1312229937
3. August 2020;892171174;1238612619
10. August 2020;945808906;1366929291
17. August 2020;948329758;1409357648
24. August 2020;964693657;1380720294
31. August 2020;960621359;1479963767
7. September 2020;959731318;1349737474
14. September 2020;972719957;1279972010
21. September 2020;1000597252;1245514334
28. September 2020;1037102141;1460422626
5. Oktober 2020;1046917941;1416458768
12. Oktober 2020;1097008374;1373515110
19. Oktober 2020;1085037455;1182406839
26. Oktober 2020;1100179065;1215621804
2. November 2020;1094061455;1237024778
9. November 2020;1106616698;1255396838
16. November 2020;1164681439;1155259758
23. November 2020;1237224180;1385841316
30. November 2020;1298423082;1317647132
7. Dezember 2020;1296482885;1247470853
14. Dezember 2020;1225390091;1157036490
21. Dezember 2020;1092523456;1023537250
28. Dezember 2020;1113556599;949209359
4. Januar 2021;1282012500;1360285408
11. Januar 2021;1326980104;1368495457
18. Januar 2021;1279315452;1227058119
25. Januar 2021;1276293859;1277737345
1. Februar 2021;1202260306;1228541446
8. Februar 2021;1326375118;1449682656
15. Februar 2021;1205049645;1176907327
22. Februar 2021;1135229109;1128237935
1. März 2021;1162549923;1287926746
8. März 2021;1152277989;1189248337
15. März 2021;1218505975;1168641786
22. März 2021;1122666196;1093915518
29. März 2021;466041198;507776429
